"region","count"
"Россия, Алтайский край, Бийск",107
"Россия, Крым, Ялта",105
"Украина, Кировоградская область, Кировоград",104
"Россия, Московская область, Домодедово",103
"Россия, Тюменская область, Ишим",102
"Россия, Саратовская область, Балаково",102
"Украина, Полтавская область, Кременчуг",102
"Россия, Ханты-Мансийский Автономный округ - Югра АО, Нефтеюганск",101
"Россия, Московская область, Наро-Фоминск",101
"Россия, Башкортостан, Нефтекамск",100
"Россия, Адыгея, Майкоп",99
"Россия, Краснодарский край, Анапа",98
"Казахстан, Южно-Казахстанская область, Шымкент",93
"Россия, Московская область, Долгопрудный",92
"Россия, Московская область, Жуковский",92
"Россия, Свердловская область, Каменск-Уральский",91
"Украина, Ровенская область, Ровно",91
"Россия, Крым, Евпатория",90
"Россия, Московская область, Воскресенск",89
"Россия, Ростовская область, Волгодонск",89
"Россия, Пермский край, Березники",89
"Россия, Ямало-Ненецкий  АО, Новый Уренгой",89
"Украина, Тернопольская область, Тернополь",88
"Казахстан, Кустанайская область, Костанай",88
"Россия, Татарстан, Бугульма",87
"Украина, Черновицкая область, Черновцы",84
"Россия, Карачаево-Черкесская, Черкесск",84
"Россия, Московская область, Дубна",83
"Беларусь, Могилевская область, Бобруйск",82
"Россия, Владимирская область, Ковров",82
"Россия, Ивановская область, Кинешма",82
"Россия, Алтайский край, Рубцовск",81
"Россия, Челябинская область, Златоуст",81
"Россия, Кемеровская область, Прокопьевск",81
"Россия, Приморский край, Уссурийск",81
"Россия, Оренбургская область, Орск",79
"Россия, Московская область, Дмитров",79
"Россия, Новосибирская область, Бердск",78
"Украина, Хмельницкая область, Хмельницкий",78
"Украина, Киевская область, Белая Церковь",78
"Россия, Свердловская область, Новоуральск",77
"Россия, Татарстан, Лениногорск",76
"Казахстан, Западно-Казахстанская область, Уральск",75
"Россия, Кабардино-Балкарская, Нальчик",75
"Россия, Ивановская область, Шуя",74
"Россия, Чувашия, Новочебоксарск",74
"Узбекистан, Ташкент",73
"Россия, Калмыкия, Элиста",72
"_, Донецкая область, Краматорск",71
"Россия, Краснодарский край, Ейск",71
"Россия, Московская область, Лобня",71
"Россия, Челябинская область, Миасс",70
"Россия, Красноярский край, Минусинск",69
"Украина, Ивано-Франковская область, Ивано-Франковск",69
"Россия, Ленинградская область, Выборг",68
"Россия, Коми, Воркута",68
"Россия, Белгородская область, Губкин",68
"Россия, Приморский край, Находка",67
"Беларусь, Брестская область, Барановичи",66
"Россия, Башкортостан, Белорецк",65
"Россия, Московская область, Ногинск",64
"Россия, Московская область, Ступино",64
"Россия, Краснодарский край, Геленджик",63
"Россия, Московская область, Клин",63
"Россия, Красноярский край, Лесосибирск",62
"Россия, Красноярский край, Железногорск",60
"Украина, Волынская область, Луцк",60
"_, Запорожская область, Мелитополь",59
"Россия, Тыва, Кызыл",59
"Казахстан, Актюбинская область, Актобе",58
"Украина, Днепропетровская область, Днепродзержинск",58
"Россия, Липецкая область, Елец",58
"Россия, Тульская область, Дубна",58
"Россия, Свердловская область, Верхняя Пышма",58
"Россия, Алтай, Горно-Алтайск",58
"Россия, Татарстан, Елабуга",58
"Россия, Псковская область, Великие Луки",58
"Казахстан, Северо-Казахстанская область, Петропавловск",57
"Россия, Томская область, Северск",57
"Россия, Ярославская область, Тутаев",57
"Россия, Московская область, Чехов",56
"Россия, Мурманская область, Североморск",55
"Россия, Пермский край, Чайковский",55
"Россия, Башкортостан, Туймазы",55
"Россия, Ямало-Ненецкий  АО, Ноябрьск",55
"Россия, Башкортостан, Кумертау",55
"Россия, Самарская область, Новокуйбышевск",54
"Россия, Красноярский край, Канск",54
"_, Донецкая область, Макеевка",54
"Беларусь, Минская область, Борисов",54
"Россия, Кемеровская область, Белово",54
"Россия, Ленинградская область, Тихвин",53
"Россия, Московская область, Реутов",52
"Россия, Амурская область, Белогорск",52
"Россия, Ленинградская область, Кириши",52
"Россия, Челябинская область, Озерск",52
"Россия, Магаданская область, Магадан",52
"Россия, Пермский край, Кунгур",50
"Россия, Волгоградская область, Камышин",50
"Россия, Крым, Феодосия",50
"Россия, Ставропольский край, Невинномысск",50
"Россия, Чечня, Грозный",50
"Россия, Мурманская область, Мончегорск",49
"Россия, Ставропольский край, Ессентуки",49
"Азербайджан, Баку",48
"Россия, Свердловская область, Краснотурьинск",48
"Россия, Владимирская область, Муром",48
"Россия, Кировская область, Кирово-Чепецк",48
"Россия, Удмуртия, Глазов",48
"Россия, Челябинская область, Копейск",48
"Россия, Свердловская область, Асбест",48
"Россия, Московская область, Фрязино",47
"Латвия, Rīga",47
"Россия, Иркутская область, Усть-Илимск",46
"Россия, Ямало-Ненецкий  АО, Салехард",46
"Россия, Еврейская АОбл, Биробиджан",46
"Россия, Тверская область, Ржев",46
"Россия, Татарстан, Чистополь",45
"Россия, Нижегородская область, Кстово",44
"Беларусь, Гомельская область, Мозырь",44
"Казахстан, Восточно-Казахстанская область, Семипалатинск",44
"Россия, Московская область, Ивантеевка",44
"Беларусь, Минская область, Молодечно",44
"Молдова, Тирасполь",43
"Россия, Московская область, Егорьевск",43
"США, New York, New York City",43
"Россия, Иркутская область, Усолье-Сибирское",43
"Казахстан, Жамбылская  область, Тараз",43
"Россия, Волгоградская область, Михайловка",42
"Казахстан, Мангистауская область, Актау",42
"Россия, Краснодарский край, Туапсе",42
"Россия, Нижегородская область, Арзамас",42
"Россия, Московская область, Павловский Посад",42
"Россия, Ивановская область, Вичуга",41
"Россия, Свердловская область, Полевской",41
"Россия, Крым, Джанкой",41
"_, Запорожская область, Бердянск",40
"Россия, Кемеровская область, Анжеро-Судженск",40
"Россия, Саратовская область, Балашов",40
"Украина, Днепропетровская область, Никополь",40
"Россия, Калининградская область, Черняховск",40
"Россия, Краснодарский край, Славянск-на-Кубани",40
"Россия, Ставропольский край, Минеральные Воды",39
"Россия, Пермский край, Октябрьский",39
"Россия, Мурманская область, Апатиты",38
"Россия, Ленинградская область, Тосно",38
"Россия, Московская область, Видное",38
"Россия, Ленинградская область, Всеволожск",38
"Россия, Ленинградская область, Колпино",37
"Казахстан, Атырауская область, Атырау",37
"Казахстан, Акмолинская область, Кокшетау",37
"Россия, Ростовская область, Каменск-Шахтинский",37
"Россия, Удмуртия, Воткинск",37
"Россия, Ульяновская область, Димитровград",36
"Россия, Удмуртия, Сарапул",36
"Беларусь, Брестская область, Пинск",36
"Россия, Архангельская область, Котлас",36
"Россия, Московская область, Пушкино",36
"Россия, Пермский край, Соликамск",36
"Россия, Оренбургская область, Бузулук",36
"Россия, Ростовская область, Азов",35
"Россия, Московская область, Солнечногорск",35
"Россия, Ленинградская область, Пушкин",35
"Украина, Киевская область, Бровары",35
"Россия, Башкортостан, Ишимбай",35
"Россия, Ростовская область, Батайск",34
"Россия, Тверская область, Вышний Волочек",34
"Россия, Воронежская область, Россошь",34
"Россия, Нижегородская область, Выкса",34
"Россия, Московская область, Краснознаменск",33
"Беларусь, Витебская область, Орша",33
"Россия, Астраханская область, Пушкино",33
"Россия, Иркутская область, Железнодорожный",33
"Россия, Ставропольский край, Буденновск",33
"Россия, Московская область, Истра",33
"Беларусь, Витебская область, Новополоцк",33
"Россия, Владимирская область, Вязники",32
"Россия, Пермский край, Лысьва",32
"Россия, Краснодарский край, Белореченск",32
"Армения, Ереван",32
"Россия, Алтайский край, Новоалтайск",32
"Россия, Челябинская область, Южноуральск",32
"Россия, Краснодарский край, Крымск",31
"Россия, Пензенская область, Заречный",31
"Россия, Ярославская область, Переславль-Залесский",31
"Россия, Московская область, Лыткарино",31
"США, California, Los Angeles",31
"Россия, Курская область, Железногорск",31
"Россия, Ханты-Мансийский Автономный округ - Югра АО, Мегион",30
"Россия, Московская область, Кашира",30
"Украина, Закарпатская область, Ужгород",30
"Россия, Новосибирская область, Искитим",30
"Россия, Новосибирская область, Куйбышев",30
"Беларусь, Витебская область, Полоцк",29
"Беларусь, Гомельская область, Жлобин",29
"Грузия, Тбилиси",29
"Россия, Башкортостан, Белебей",29
"Россия, Пермский край, Чусовой",29
"Россия, Свердловская область, Серов",29
"Россия, Башкортостан, Учалы",28
"Украина, Хмельницкая область, Каменец-Подольский",28
"Россия, Ленинградская область, Кингисепп",28
"Россия, Свердловская область, Березовский",28
"Россия, Карелия, Костомукша",28
"Россия, Ханты-Мансийский Автономный округ - Югра АО, Когалым",27
"Россия, Тульская область, Узловая",27
"Россия, Кировская область, Вятские Поляны",27
"Россия, Московская область, Луховицы",27
"Россия, Краснодарский край, Темрюк",27
"_, Луганская область, Алчевск",27
"Россия, Ставропольский край, Кисловодск",27
"Россия, Московская область, Дзержинский",27
"Беларусь, Минская область, Солигорск",26
"Беларусь, Гродненская область, Лида",26
"Россия, Московская область, Ликино-Дулево",26
"США, Chicago",26
"Россия, Кемеровская область, Ленинск-Кузнецкий",26
"Украина, Черкасская область, Умань",26
"Россия, Новгородская область, Боровичи",26
"Россия, Ленинградская область, Кировск",26
"Россия, Ханты-Мансийский Автономный округ - Югра АО, Нягань",26
"Россия, Башкортостан, Бирск",26
"Россия, Нижегородская область, Саров",26
"Россия, Курганская область, Шадринск",25
"Россия, Челябинская область, Троицк",25
"Россия, Ленинградская область, Волхов",25
"Россия, Красноярский край, Дивногорск",25
"Россия, Владимирская область, Александров",25
"Россия, Ростовская область, Сальск",25
"Россия, Ставропольский край, Лермонтов",25
"Россия, Краснодарский край, Тимашевск",25
"Россия, Самарская область, Чапаевск",25
"Россия, Московская область, Нахабино",24
"Россия, Татарстан, Заинск",24
"Россия, Волгоградская область, Урюпинск",24
"Россия, Свердловская область, Качканар",24
"Россия, Приморский край, Артем",24
"Россия, Хакасия, Черногорск",24
"Россия, Красноярский край, Назарово",24
"Россия, Краснодарский край, Кореновск",24
"Россия, Оренбургская область, Новотроицк",24
"Россия, Карелия, Кондопога",24
"Россия, Кемеровская область, Юрга",23
"Россия, Ямало-Ненецкий  АО, Надым",23
"_, Луганская область, Северодонецк",23
"Россия, Орловская область, Мценск",23
"Россия, Ростовская область, Белая Калитва",23
"Россия, Ставропольский край, Александрия",23
"Россия, Марий Эл, Волжск",23
"Россия, Свердловская область, Верхняя Салда",23
"Россия, Воронежская область, Борисоглебск",23
"Россия, Крым, Бахчисарай",23
"Россия, Тульская область, Алексин",23
"Россия, Мурманская область, Оленегорск",22
"Россия, Владимирская область, Гусь-Хрустальный",22
"Россия, Ямало-Ненецкий  АО, Губкинский",22
"Россия, Воронежская область, Нововоронеж",22
"Россия, Калужская область, Малоярославец",22
"Россия, Ленинградская область, Луга",22
"Россия, Брянская область, Клинцы",22
"Украина, Кировоградская область, Светловодск",22
"Россия, Башкортостан, Мелеуз",22
"Украина, Киевская область, Ирпень",21
"Казахстан, Карагандинская область, Темиртау",21
"Казахстан, Алма-Атинская область, Талды-Курган ",21
"Украина, Сумская область, Шостка",21
"Россия, Мурманская область, Кандалакша",21
"Молдова, Бельцы",21
"Россия, Мурманская область, Ревда",21
"Россия, Нижегородская область, Бор",21
"Россия, Челябинская область, Снежинск",21
"Россия, Краснодарский край, Тихорецк",21
"Россия, Ивановская область, Фурманов",21
"Россия, Ростовская область, Миллерово",21
"Россия, Московская область, Климовск",21
"Россия, Саха /Якутия/, Нерюнгри",21
"Украина, Житомирская область, Коростень",21
"Россия, Пермский край, Краснокамск",21
"Россия, Коми, Сосногорск",21
"Россия, Воронежская область, Лиски",20
"Россия, Вологодская область, Великий Устюг",20
"Россия, Архангельская область, Коряжма",20
"Украина, Киевская область, Борисполь",20
"Россия, Свердловская область, Ревда",20
"Россия, Свердловская область, Кировград",20
"Украина, Днепропетровская область, Павлоград",20
"Беларусь, Брестская область, Кобрин",20
"_, Донецкая область, Горловка",20
"Беларусь, Гомельская область, Речица",20
"Россия, Псковская область, Сосновый Бор",20
"Россия, Крым, Саки",19
"Россия, Ярославская область, Ростов",19
"Россия, Татарстан, Азнакаево",19
"Россия, Чувашия, Канаш",19
"Россия, Пензенская область, Кузнецк",19
"Россия, Ханты-Мансийский Автономный округ - Югра АО, Лангепас",19
"Россия, Московская область, Волоколамск",19
"Казахстан, Кзыл-Ординская область, Байконур",19
"Россия, Красноярский край, Сосновоборск",19
"Россия, Ставропольский край, Георгиевск",19
"Россия, Кемеровская область, Киселевск",19
"Россия, Красноярский край, Зеленогорск",19
"Россия, Ярославская область, Углич",19
"Россия, Курская область, Курчатов",19
"Россия, Самарская область, Междуреченск",19
